
Iteration 1 | Loss 0.17329 | Acc 0.6250
Iteration 42 | Loss 0.17329 | Acc 0.4375
Iteration 43 | Loss 0.17329 | Acc 0.5000
Iteration 44 | Loss 0.17329 | Acc 0.6250
Iteration 45 | Loss 0.17329 | Acc 0.2500
Iteration 46 | Loss 0.17329 | Acc 0.5000
Iteration 47 | Loss 0.17329 | Acc 0.5625
Iteration 48 | Loss 0.17329 | Acc 0.5625
Iteration 49 | Loss 0.17329 | Acc 0.5625
Iteration 50 | Loss 0.17329 | Acc 0.6875
Iteration 51 | Loss 0.17329 | Acc 0.3750
Iteration 52 | Loss 0.17329 | Acc 0.6875
Iteration 53 | Loss 0.17329 | Acc 0.4375
Iteration 54 | Loss 0.17329 | Acc 0.5000
Iteration 55 | Loss 0.17329 | Acc 0.4375
Iteration 56 | Loss 0.17329 | Acc 0.6875
Iteration 57 | Loss 0.17329 | Acc 0.3750
Iteration 58 | Loss 0.17329 | Acc 0.5000
Iteration 59 | Loss 0.17329 | Acc 0.6250
Iteration 60 | Loss 0.17329 | Acc 0.6250
Iteration 61 | Loss 0.17329 | Acc 0.5625
Iteration 62 | Loss 0.17329 | Acc 0.3750
Iteration 63 | Loss 0.17329 | Acc 0.5625
Iteration 64 | Loss 0.17329 | Acc 0.6250
Iteration 65 | Loss 0.17329 | Acc 0.6875
Iteration 66 | Loss 0.17329 | Acc 0.4375
Iteration 67 | Loss 0.17329 | Acc 0.3125
Iteration 68 | Loss 0.17329 | Acc 0.5000
Iteration 69 | Loss 0.17329 | Acc 0.3750
Iteration 70 | Loss 0.17329 | Acc 0.4375
Iteration 71 | Loss 0.17329 | Acc 0.6875
Iteration 72 | Loss 0.17329 | Acc 0.5000
Iteration 73 | Loss 0.17329 | Acc 0.8750
Iteration 74 | Loss 0.17329 | Acc 0.1250
Iteration 75 | Loss 0.17329 | Acc 0.5625
Iteration 76 | Loss 0.17329 | Acc 0.4375
Iteration 77 | Loss 0.17329 | Acc 0.2500
Iteration 78 | Loss 0.17329 | Acc 0.3750
Iteration 79 | Loss 0.17329 | Acc 0.5625
Iteration 80 | Loss 0.17329 | Acc 0.5000
Iteration 81 | Loss 0.17329 | Acc 0.3750
Iteration 82 | Loss 0.17329 | Acc 0.3750
Iteration 83 | Loss 0.17329 | Acc 0.6875
Iteration 84 | Loss 0.17329 | Acc 0.5000
Iteration 85 | Loss 0.17329 | Acc 0.4375
Iteration 86 | Loss 0.17329 | Acc 0.6875
Iteration 87 | Loss 0.17329 | Acc 0.5625
Iteration 88 | Loss 0.17329 | Acc 0.5625
Iteration 89 | Loss 0.17329 | Acc 0.6250
Iteration 90 | Loss 0.17329 | Acc 0.3750
Iteration 91 | Loss 0.17329 | Acc 0.5000
Iteration 92 | Loss 0.17329 | Acc 0.2500
Iteration 93 | Loss 0.17329 | Acc 0.5625
Iteration 94 | Loss 0.17329 | Acc 0.5625
Iteration 95 | Loss 0.17329 | Acc 0.2500
Iteration 96 | Loss 0.17329 | Acc 0.5625
Iteration 97 | Loss 0.17329 | Acc 0.7500
Iteration 98 | Loss 0.17329 | Acc 0.4375
Iteration 99 | Loss 0.17329 | Acc 0.5000
Iteration 100 | Loss 0.17329 | Acc 0.5625
Iteration 101 | Loss 0.17329 | Acc 0.6250
Iteration 102 | Loss 0.17329 | Acc 0.5000
Iteration 103 | Loss 0.17329 | Acc 0.3125
Iteration 104 | Loss 0.17329 | Acc 0.5000
Iteration 105 | Loss 0.17329 | Acc 0.2500
Iteration 106 | Loss 0.17329 | Acc 0.5000
Iteration 107 | Loss 0.17329 | Acc 0.3750
Iteration 108 | Loss 0.17329 | Acc 0.5625
Iteration 109 | Loss 0.17329 | Acc 0.5000
Iteration 110 | Loss 0.17329 | Acc 0.4375
Iteration 111 | Loss 0.17329 | Acc 0.4375
Iteration 112 | Loss 0.17329 | Acc 0.5000
Iteration 113 | Loss 0.17329 | Acc 0.7500
Iteration 114 | Loss 0.17329 | Acc 0.5000
Iteration 115 | Loss 0.17329 | Acc 0.3125
Iteration 116 | Loss 0.17329 | Acc 0.6875
Iteration 117 | Loss 0.17329 | Acc 0.5000
Iteration 118 | Loss 0.17329 | Acc 0.6250
Iteration 119 | Loss 0.17329 | Acc 0.4375
Iteration 120 | Loss 0.17329 | Acc 0.4375
Iteration 121 | Loss 0.17329 | Acc 0.5000
Iteration 122 | Loss 0.17329 | Acc 0.4375
Iteration 123 | Loss 0.17329 | Acc 0.6250
Iteration 124 | Loss 0.17329 | Acc 0.6250
Iteration 125 | Loss 0.17329 | Acc 0.5625
Iteration 126 | Loss 0.17329 | Acc 0.6875
Iteration 127 | Loss 0.17329 | Acc 0.5000
Iteration 128 | Loss 0.17329 | Acc 0.5000
Iteration 129 | Loss 0.17329 | Acc 0.5000
Iteration 130 | Loss 0.17329 | Acc 0.6875
Iteration 131 | Loss 0.17329 | Acc 0.5000
Iteration 132 | Loss 0.17329 | Acc 0.3750
Iteration 133 | Loss 0.17329 | Acc 0.4375
Iteration 134 | Loss 0.17329 | Acc 0.5000
Iteration 135 | Loss 0.17329 | Acc 0.6250
Iteration 136 | Loss 0.17329 | Acc 0.5625
Iteration 137 | Loss 0.17329 | Acc 0.6875
Iteration 138 | Loss 0.17329 | Acc 0.3125
Iteration 139 | Loss 0.17329 | Acc 0.6875
Iteration 140 | Loss 0.17329 | Acc 0.5625
Iteration 141 | Loss 0.17329 | Acc 0.5625
Iteration 142 | Loss 0.17329 | Acc 0.5625
Iteration 143 | Loss 0.17329 | Acc 0.6250
Iteration 144 | Loss 0.17329 | Acc 0.3750
Iteration 145 | Loss 0.17329 | Acc 0.2500
Iteration 146 | Loss 0.17329 | Acc 0.3750
Iteration 147 | Loss 0.17329 | Acc 0.4375
Iteration 148 | Loss 0.17329 | Acc 0.6875
Iteration 149 | Loss 0.17329 | Acc 0.6250
Iteration 150 | Loss 0.17329 | Acc 0.5625
Iteration 151 | Loss 0.17329 | Acc 0.5000
Iteration 152 | Loss 0.17329 | Acc 0.6250
Iteration 153 | Loss 0.17329 | Acc 0.4375
Iteration 154 | Loss 0.17329 | Acc 0.2500
Iteration 155 | Loss 0.17329 | Acc 0.5000
Iteration 156 | Loss 0.17329 | Acc 0.6250
Iteration 157 | Loss 0.17329 | Acc 0.6875
Iteration 158 | Loss 0.17329 | Acc 0.5625
Iteration 159 | Loss 0.17329 | Acc 0.4375
Iteration 160 | Loss 0.17329 | Acc 0.1875
Iteration 161 | Loss 0.17329 | Acc 0.5000
Iteration 162 | Loss 0.17329 | Acc 0.2500
Iteration 163 | Loss 0.17329 | Acc 0.4375
Iteration 164 | Loss 0.17329 | Acc 0.5625
Iteration 165 | Loss 0.17329 | Acc 0.3750
Iteration 166 | Loss 0.17329 | Acc 0.6250
Iteration 167 | Loss 0.17329 | Acc 0.4375
Iteration 168 | Loss 0.17329 | Acc 0.6875
Iteration 169 | Loss 0.17329 | Acc 0.6250
Iteration 170 | Loss 0.17329 | Acc 0.5000
Iteration 171 | Loss 0.17329 | Acc 0.4375
Iteration 172 | Loss 0.17329 | Acc 0.5000
Iteration 173 | Loss 0.17329 | Acc 0.6875
Iteration 174 | Loss 0.17329 | Acc 0.3750
Iteration 175 | Loss 0.17329 | Acc 0.5000
Iteration 176 | Loss 0.17329 | Acc 0.5625
Iteration 177 | Loss 0.17329 | Acc 0.3750
Iteration 178 | Loss 0.17329 | Acc 0.5625
Iteration 179 | Loss 0.17329 | Acc 0.1875
Iteration 180 | Loss 0.17329 | Acc 0.4375
Iteration 181 | Loss 0.17329 | Acc 0.6250
Iteration 182 | Loss 0.17329 | Acc 0.6250
Iteration 183 | Loss 0.17329 | Acc 0.4375
Iteration 184 | Loss 0.17329 | Acc 0.7500
Iteration 185 | Loss 0.17329 | Acc 0.5000
Iteration 186 | Loss 0.17329 | Acc 0.4375
Iteration 187 | Loss 0.17329 | Acc 0.5000
Iteration 188 | Loss 0.17329 | Acc 0.6250
Iteration 189 | Loss 0.17329 | Acc 0.4375
Iteration 190 | Loss 0.17329 | Acc 0.5000
Iteration 191 | Loss 0.17329 | Acc 0.5000
Iteration 192 | Loss 0.17329 | Acc 0.3125
Iteration 193 | Loss 0.17329 | Acc 0.3750
Iteration 194 | Loss 0.17329 | Acc 0.5000
Iteration 195 | Loss 0.17329 | Acc 0.5000
Iteration 196 | Loss 0.17329 | Acc 0.6250
Iteration 197 | Loss 0.17329 | Acc 0.6875
Iteration 198 | Loss 0.17329 | Acc 0.3750
Iteration 199 | Loss 0.17329 | Acc 0.6250
Iteration 200 | Loss 0.17329 | Acc 0.5000
Iteration 201 | Loss 0.17329 | Acc 0.4375
Iteration 202 | Loss 0.17329 | Acc 0.5000
Iteration 203 | Loss 0.17329 | Acc 0.3750
Iteration 204 | Loss 0.17329 | Acc 0.3750
Iteration 205 | Loss 0.17329 | Acc 0.4375
Iteration 206 | Loss 0.17329 | Acc 0.3750
Iteration 207 | Loss 0.17329 | Acc 0.4375
Iteration 208 | Loss 0.17329 | Acc 0.5000
Iteration 209 | Loss 0.17329 | Acc 0.5625
Iteration 210 | Loss 0.17329 | Acc 0.3750
Iteration 211 | Loss 0.17329 | Acc 0.6250
Iteration 212 | Loss 0.17329 | Acc 0.5000
Iteration 213 | Loss 0.17329 | Acc 0.5000
Iteration 214 | Loss 0.17329 | Acc 0.5000
Iteration 215 | Loss 0.17329 | Acc 0.5000
Iteration 216 | Loss 0.17329 | Acc 0.5625
Iteration 217 | Loss 0.17329 | Acc 0.3125
Iteration 218 | Loss 0.17329 | Acc 0.8750
Iteration 219 | Loss 0.17329 | Acc 0.5000
Iteration 220 | Loss 0.17329 | Acc 0.5625
Iteration 221 | Loss 0.17329 | Acc 0.4375
Iteration 222 | Loss 0.17329 | Acc 0.3125
Iteration 223 | Loss 0.17329 | Acc 0.6250
Iteration 224 | Loss 0.17329 | Acc 0.6250
Iteration 225 | Loss 0.17329 | Acc 0.3125
Iteration 226 | Loss 0.17329 | Acc 0.5000
Iteration 227 | Loss 0.17329 | Acc 0.6250
Iteration 228 | Loss 0.17329 | Acc 0.5000
Iteration 229 | Loss 0.17329 | Acc 0.4375
Iteration 230 | Loss 0.17329 | Acc 0.6875
Iteration 231 | Loss 0.17329 | Acc 0.6875
Iteration 232 | Loss 0.17329 | Acc 0.4375
Iteration 233 | Loss 0.17329 | Acc 0.6250
Iteration 234 | Loss 0.17329 | Acc 0.5625
Iteration 235 | Loss 0.17329 | Acc 0.3750
Iteration 236 | Loss 0.17329 | Acc 0.2500
Iteration 237 | Loss 0.17329 | Acc 0.4375
Iteration 238 | Loss 0.17329 | Acc 0.3750
Iteration 239 | Loss 0.17329 | Acc 0.6250
Iteration 240 | Loss 0.17329 | Acc 0.3750
Iteration 241 | Loss 0.17329 | Acc 0.5625
Iteration 242 | Loss 0.17329 | Acc 0.4375
Iteration 243 | Loss 0.17329 | Acc 0.5000
Iteration 244 | Loss 0.17329 | Acc 0.6875
Iteration 245 | Loss 0.17329 | Acc 0.5625
Iteration 246 | Loss 0.17329 | Acc 0.5000
Iteration 247 | Loss 0.17329 | Acc 0.5625
Iteration 248 | Loss 0.17329 | Acc 0.5000
Iteration 249 | Loss 0.17329 | Acc 0.5625
Iteration 250 | Loss 0.17329 | Acc 0.5625
Iteration 251 | Loss 0.17329 | Acc 0.6250
Iteration 252 | Loss 0.17329 | Acc 0.5625
Iteration 253 | Loss 0.17329 | Acc 0.2500
Iteration 254 | Loss 0.17329 | Acc 0.4375
Iteration 255 | Loss 0.17329 | Acc 0.5000
Iteration 256 | Loss 0.17329 | Acc 0.5625
Iteration 257 | Loss 0.17329 | Acc 0.7500
Iteration 258 | Loss 0.17329 | Acc 0.5000
Iteration 259 | Loss 0.17329 | Acc 0.5000
Iteration 260 | Loss 0.17329 | Acc 0.5000
Iteration 261 | Loss 0.17329 | Acc 0.5000
Iteration 262 | Loss 0.17329 | Acc 0.5000
Iteration 263 | Loss 0.17329 | Acc 0.3750
Iteration 264 | Loss 0.17329 | Acc 0.6250
Iteration 265 | Loss 0.17329 | Acc 0.5000
Iteration 266 | Loss 0.17329 | Acc 0.4375
Iteration 267 | Loss 0.17329 | Acc 0.6250
Iteration 268 | Loss 0.17329 | Acc 0.5625
Iteration 269 | Loss 0.17329 | Acc 0.6875
Iteration 270 | Loss 0.17329 | Acc 0.8750
Iteration 271 | Loss 0.17329 | Acc 0.6875
Iteration 272 | Loss 0.17329 | Acc 0.6250
Iteration 273 | Loss 0.17329 | Acc 0.5625
Iteration 274 | Loss 0.17329 | Acc 0.5000
Iteration 275 | Loss 0.17329 | Acc 0.6250
Iteration 276 | Loss 0.17329 | Acc 0.3750
Iteration 277 | Loss 0.17329 | Acc 0.6250
Iteration 278 | Loss 0.17329 | Acc 0.6250
Iteration 279 | Loss 0.17329 | Acc 0.5000
Iteration 280 | Loss 0.17329 | Acc 0.5000
Iteration 281 | Loss 0.17329 | Acc 0.7500
Iteration 282 | Loss 0.17329 | Acc 0.5625
Iteration 283 | Loss 0.17329 | Acc 0.6250
Iteration 284 | Loss 0.17329 | Acc 0.6875
Iteration 285 | Loss 0.17329 | Acc 0.3750
Iteration 286 | Loss 0.17329 | Acc 0.5625
Iteration 287 | Loss 0.17329 | Acc 0.5625
Iteration 288 | Loss 0.17329 | Acc 0.7500
Iteration 289 | Loss 0.17329 | Acc 0.5000
Iteration 290 | Loss 0.17329 | Acc 0.5625
Iteration 291 | Loss 0.17329 | Acc 0.3750
Iteration 292 | Loss 0.17329 | Acc 0.5625
Iteration 293 | Loss 0.17329 | Acc 0.3750
Iteration 294 | Loss 0.17329 | Acc 0.3125
Iteration 295 | Loss 0.17329 | Acc 0.6250
Iteration 296 | Loss 0.17329 | Acc 0.2500
Iteration 297 | Loss 0.17329 | Acc 0.5625
Iteration 298 | Loss 0.17329 | Acc 0.3750
Iteration 299 | Loss 0.17329 | Acc 0.4375
Iteration 300 | Loss 0.17329 | Acc 0.4375
Iteration 301 | Loss 0.17329 | Acc 0.8125
Iteration 302 | Loss 0.17329 | Acc 0.5000
Iteration 303 | Loss 0.17329 | Acc 0.6250
Iteration 304 | Loss 0.17329 | Acc 0.4375
Iteration 305 | Loss 0.17329 | Acc 0.4375
Iteration 306 | Loss 0.17329 | Acc 0.3750
Iteration 307 | Loss 0.17329 | Acc 0.6250
Iteration 308 | Loss 0.17329 | Acc 0.3125
Iteration 309 | Loss 0.17329 | Acc 0.3750
Iteration 310 | Loss 0.17329 | Acc 0.3125
Iteration 311 | Loss 0.17329 | Acc 0.5000
Iteration 312 | Loss 0.17329 | Acc 0.3750
Iteration 313 | Loss 0.17329 | Acc 0.3750
Iteration 314 | Loss 0.17329 | Acc 0.8125
Iteration 315 | Loss 0.17329 | Acc 0.3125
Iteration 316 | Loss 0.17329 | Acc 0.5625
Iteration 317 | Loss 0.17329 | Acc 0.4375
Iteration 318 | Loss 0.17329 | Acc 0.5625
Iteration 319 | Loss 0.17329 | Acc 0.2500
Iteration 320 | Loss 0.17329 | Acc 0.5625
Iteration 321 | Loss 0.17329 | Acc 0.4375
Iteration 322 | Loss 0.17329 | Acc 0.6250
Iteration 323 | Loss 0.17329 | Acc 0.5625
Iteration 324 | Loss 0.17329 | Acc 0.5625
Iteration 325 | Loss 0.17329 | Acc 0.6250
Iteration 326 | Loss 0.17329 | Acc 0.5625
Iteration 327 | Loss 0.17329 | Acc 0.6875
Iteration 328 | Loss 0.17329 | Acc 0.3750
Iteration 329 | Loss 0.17329 | Acc 0.5000
Iteration 330 | Loss 0.17329 | Acc 0.5000
Iteration 331 | Loss 0.17329 | Acc 0.4375
Iteration 332 | Loss 0.17329 | Acc 0.3125
Iteration 333 | Loss 0.17329 | Acc 0.5000
Iteration 334 | Loss 0.17329 | Acc 0.8125
Iteration 335 | Loss 0.17329 | Acc 0.4375
Iteration 336 | Loss 0.17329 | Acc 0.5625
Iteration 337 | Loss 0.17329 | Acc 0.4375
Iteration 338 | Loss 0.17329 | Acc 0.4375
Iteration 339 | Loss 0.17329 | Acc 0.2500
Iteration 340 | Loss 0.17329 | Acc 0.6875
Iteration 341 | Loss 0.17329 | Acc 0.5000
Iteration 342 | Loss 0.17329 | Acc 0.3125
Iteration 343 | Loss 0.17329 | Acc 0.4375
Iteration 344 | Loss 0.17329 | Acc 0.3750
Iteration 345 | Loss 0.17329 | Acc 0.7500
Iteration 346 | Loss 0.17329 | Acc 0.7500
Iteration 347 | Loss 0.17329 | Acc 0.5000
Iteration 348 | Loss 0.17329 | Acc 0.5625
Iteration 349 | Loss 0.17329 | Acc 0.4375
Iteration 350 | Loss 0.17329 | Acc 0.3125
Iteration 351 | Loss 0.17329 | Acc 0.8750
Iteration 352 | Loss 0.17329 | Acc 0.6250
Iteration 353 | Loss 0.17329 | Acc 0.5625
Iteration 354 | Loss 0.17329 | Acc 0.6250
Iteration 355 | Loss 0.17329 | Acc 0.4375
Iteration 356 | Loss 0.17329 | Acc 0.5625
Iteration 357 | Loss 0.17329 | Acc 0.3750
Iteration 358 | Loss 0.17329 | Acc 0.3125
Iteration 359 | Loss 0.17329 | Acc 0.5000
Validation - Iteration 359 | Loss 0.69315 | Acc 0.6159
Best Val loss so far. Saving model
best_loss =  tensor(0.6931, device='cuda:0')
Iteration 360 | Loss 0.17329 | Acc 0.5625
Iteration 361 | Loss 0.17329 | Acc 0.5625
Iteration 362 | Loss 0.17329 | Acc 0.3750
Iteration 363 | Loss 0.17329 | Acc 0.5000
Iteration 364 | Loss 0.17329 | Acc 0.5000
Iteration 365 | Loss 0.17329 | Acc 0.6250
Iteration 366 | Loss 0.17329 | Acc 0.3125
Iteration 367 | Loss 0.17329 | Acc 0.5000
Iteration 368 | Loss 0.17329 | Acc 0.4375
Iteration 369 | Loss 0.17329 | Acc 0.5625
Iteration 370 | Loss 0.17329 | Acc 0.4375
Iteration 371 | Loss 0.17329 | Acc 0.3125
Iteration 372 | Loss 0.17329 | Acc 0.7500
Iteration 373 | Loss 0.17329 | Acc 0.6875
Iteration 374 | Loss 0.17329 | Acc 0.5625
Iteration 375 | Loss 0.17329 | Acc 0.6875
Iteration 376 | Loss 0.17329 | Acc 0.4375
Iteration 377 | Loss 0.17329 | Acc 0.6250
Iteration 378 | Loss 0.17329 | Acc 0.5625
Iteration 379 | Loss 0.17329 | Acc 0.3125
Iteration 380 | Loss 0.17329 | Acc 0.4375
Iteration 381 | Loss 0.17329 | Acc 0.5000
Iteration 382 | Loss 0.17329 | Acc 0.5625
Iteration 383 | Loss 0.17329 | Acc 0.4375
Iteration 384 | Loss 0.17329 | Acc 0.3750
Iteration 385 | Loss 0.17329 | Acc 0.6250
Iteration 386 | Loss 0.17329 | Acc 0.5000
Iteration 387 | Loss 0.17329 | Acc 0.6250
Iteration 388 | Loss 0.17329 | Acc 0.5000
Iteration 389 | Loss 0.17329 | Acc 0.5000
Iteration 390 | Loss 0.17329 | Acc 0.5625
Iteration 391 | Loss 0.17329 | Acc 0.5625
Iteration 392 | Loss 0.17329 | Acc 0.2500
Iteration 393 | Loss 0.17329 | Acc 0.4375
Iteration 394 | Loss 0.17329 | Acc 0.6250
Iteration 395 | Loss 0.17329 | Acc 0.5625
Iteration 396 | Loss 0.17329 | Acc 0.7500
Iteration 397 | Loss 0.17329 | Acc 0.3750
Iteration 398 | Loss 0.17329 | Acc 0.6250
Iteration 399 | Loss 0.17329 | Acc 0.5625
Iteration 400 | Loss 0.17329 | Acc 0.5000
Iteration 401 | Loss 0.17329 | Acc 0.5000
Iteration 402 | Loss 0.17329 | Acc 0.5625
Iteration 403 | Loss 0.17329 | Acc 0.4375
Iteration 404 | Loss 0.17329 | Acc 0.5000
Iteration 405 | Loss 0.17329 | Acc 0.5625
Iteration 406 | Loss 0.17329 | Acc 0.4375
Iteration 407 | Loss 0.17329 | Acc 0.4375
Iteration 408 | Loss 0.17329 | Acc 0.3125
Iteration 409 | Loss 0.17329 | Acc 0.5000
Iteration 410 | Loss 0.17329 | Acc 0.6875
Iteration 411 | Loss 0.17329 | Acc 0.6250
Iteration 412 | Loss 0.17329 | Acc 0.5000
Iteration 413 | Loss 0.17329 | Acc 0.5625
Iteration 414 | Loss 0.17329 | Acc 0.7500
Iteration 415 | Loss 0.17329 | Acc 0.4375
Iteration 416 | Loss 0.17329 | Acc 0.4375
Iteration 417 | Loss 0.17329 | Acc 0.4375
Iteration 418 | Loss 0.17329 | Acc 0.4375
Iteration 419 | Loss 0.17329 | Acc 0.5000
Iteration 420 | Loss 0.17329 | Acc 0.5000
Iteration 421 | Loss 0.17329 | Acc 0.5625
Iteration 422 | Loss 0.17329 | Acc 0.4375
Iteration 423 | Loss 0.17329 | Acc 0.5000
Iteration 424 | Loss 0.17329 | Acc 0.3125
Iteration 425 | Loss 0.17329 | Acc 0.6250
Iteration 426 | Loss 0.17329 | Acc 0.3750
Iteration 427 | Loss 0.17329 | Acc 0.5625
Iteration 428 | Loss 0.17329 | Acc 0.8125
Iteration 429 | Loss 0.17329 | Acc 0.6875
Iteration 430 | Loss 0.17329 | Acc 0.6250
Iteration 431 | Loss 0.17329 | Acc 0.4375
Iteration 432 | Loss 0.17329 | Acc 0.5625
Iteration 433 | Loss 0.17329 | Acc 0.6250
Iteration 434 | Loss 0.17329 | Acc 0.5000
Iteration 435 | Loss 0.17329 | Acc 0.4375
Iteration 436 | Loss 0.17329 | Acc 0.6250
Iteration 437 | Loss 0.17329 | Acc 0.6250
Iteration 438 | Loss 0.17329 | Acc 0.4375
Iteration 439 | Loss 0.17329 | Acc 0.2500
Iteration 440 | Loss 0.17329 | Acc 0.3125
Iteration 441 | Loss 0.17329 | Acc 0.6250
Iteration 442 | Loss 0.17329 | Acc 0.5625
Iteration 443 | Loss 0.17329 | Acc 0.5625
Iteration 444 | Loss 0.17329 | Acc 0.1875
Iteration 445 | Loss 0.17329 | Acc 0.6875
Iteration 446 | Loss 0.17329 | Acc 0.4375
Iteration 447 | Loss 0.17329 | Acc 0.7500
Iteration 448 | Loss 0.17329 | Acc 0.6250
Iteration 449 | Loss 0.17329 | Acc 0.2500
Iteration 450 | Loss 0.17329 | Acc 0.5000
Iteration 451 | Loss 0.17329 | Acc 0.4375
Iteration 452 | Loss 0.17329 | Acc 0.4375
Iteration 453 | Loss 0.17329 | Acc 0.5625
Iteration 454 | Loss 0.17329 | Acc 0.4375
Iteration 455 | Loss 0.17329 | Acc 0.7500
Iteration 456 | Loss 0.17329 | Acc 0.5625
Iteration 457 | Loss 0.17329 | Acc 0.5000
Iteration 458 | Loss 0.17329 | Acc 0.6250
Iteration 459 | Loss 0.17329 | Acc 0.5625
Iteration 460 | Loss 0.17329 | Acc 0.4375
Iteration 461 | Loss 0.17329 | Acc 0.5000
Iteration 462 | Loss 0.17329 | Acc 0.5000
Iteration 463 | Loss 0.17329 | Acc 0.6875
Iteration 464 | Loss 0.17329 | Acc 0.4375
Iteration 465 | Loss 0.17329 | Acc 0.4375
Iteration 466 | Loss 0.17329 | Acc 0.3750
Iteration 467 | Loss 0.17329 | Acc 0.6250
Iteration 468 | Loss 0.17329 | Acc 0.3125
Iteration 469 | Loss 0.17329 | Acc 0.3750
Iteration 470 | Loss 0.17329 | Acc 0.6250
Iteration 471 | Loss 0.17329 | Acc 0.3750
Iteration 472 | Loss 0.17329 | Acc 0.5625
Iteration 473 | Loss 0.17329 | Acc 0.6250
Iteration 474 | Loss 0.17329 | Acc 0.5625
Iteration 475 | Loss 0.17329 | Acc 0.5625
Iteration 476 | Loss 0.17329 | Acc 0.6250
Iteration 477 | Loss 0.17329 | Acc 0.5625
Iteration 478 | Loss 0.17329 | Acc 0.6875
Iteration 479 | Loss 0.17329 | Acc 0.6250
Iteration 480 | Loss 0.17329 | Acc 0.5000
Iteration 481 | Loss 0.17329 | Acc 0.4375
Iteration 482 | Loss 0.17329 | Acc 0.4375
Iteration 483 | Loss 0.17329 | Acc 0.6875
Iteration 484 | Loss 0.17329 | Acc 0.3125
Iteration 485 | Loss 0.17329 | Acc 0.5000
Iteration 486 | Loss 0.17329 | Acc 0.5000
Iteration 487 | Loss 0.17329 | Acc 0.5000
Iteration 488 | Loss 0.17329 | Acc 0.3750
Iteration 489 | Loss 0.17329 | Acc 0.4375
Iteration 490 | Loss 0.17329 | Acc 0.5625
Iteration 491 | Loss 0.17329 | Acc 0.6250
Iteration 492 | Loss 0.17329 | Acc 0.3750
Iteration 493 | Loss 0.17329 | Acc 0.3125
Iteration 494 | Loss 0.17329 | Acc 0.3750
Iteration 495 | Loss 0.17329 | Acc 0.5625
Iteration 496 | Loss 0.17329 | Acc 0.6250
Iteration 497 | Loss 0.17329 | Acc 0.4375
Iteration 498 | Loss 0.17329 | Acc 0.6250
Iteration 499 | Loss 0.17329 | Acc 0.5625
Iteration 500 | Loss 0.17329 | Acc 0.5000
Iteration 501 | Loss 0.17329 | Acc 0.6250
Iteration 502 | Loss 0.17329 | Acc 0.5000
Iteration 503 | Loss 0.17329 | Acc 0.5000
Iteration 504 | Loss 0.17329 | Acc 0.4375
Iteration 505 | Loss 0.17329 | Acc 0.3750
Iteration 506 | Loss 0.17329 | Acc 0.3750
Iteration 507 | Loss 0.17329 | Acc 0.3125
Iteration 508 | Loss 0.17329 | Acc 0.5000
Iteration 509 | Loss 0.17329 | Acc 0.4375
Iteration 510 | Loss 0.17329 | Acc 0.4375
Iteration 511 | Loss 0.17329 | Acc 0.2500
Iteration 512 | Loss 0.17329 | Acc 0.3750
Iteration 513 | Loss 0.17329 | Acc 0.3750
Iteration 514 | Loss 0.17329 | Acc 0.6875
